text,intent
Adicionar tarefa: comprar pão,add_task
Lembrar de comprar pão,add_task
Criar tarefa para comprar pão,add_task
Preciso comprar pão,add_task
Nova tarefa: comprar pão,add_task
Me lembre de comprar pão,add_task
Adiciona comprar pão na lista,add_task
Agendar comprar pão,add_task
Tenho que comprar pão,add_task
Incluir comprar pão,add_task
Adicionar tarefa: pagar conta,add_task
Lembrar de pagar conta,add_task
Criar tarefa para pagar conta,add_task
Preciso pagar conta,add_task
Nova tarefa: pagar conta,add_task
Me lembre de pagar conta,add_task
Adiciona pagar conta na lista,add_task
Agendar pagar conta,add_task
Tenho que pagar conta,add_task
Incluir pagar conta,add_task
Adicionar tarefa: ligar pro medico,add_task
Lembrar de ligar pro medico,add_task
Criar tarefa para ligar pro medico,add_task
Preciso ligar pro medico,add_task
Nova tarefa: ligar pro medico,add_task
Me lembre de ligar pro medico,add_task
Adiciona ligar pro medico na lista,add_task
Agendar ligar pro medico,add_task
Tenho que ligar pro medico,add_task
Incluir ligar pro medico,add_task
Adicionar tarefa: estudar python,add_task
Lembrar de estudar python,add_task
Criar tarefa para estudar python,add_task
Preciso estudar python,add_task
Nova tarefa: estudar python,add_task
Me lembre de estudar python,add_task
Adiciona estudar python na lista,add_task
Agendar estudar python,add_task
Tenho que estudar python,add_task
Incluir estudar python,add_task
Adicionar tarefa: fazer o relatorio,add_task
Lembrar de fazer o relatorio,add_task
Criar tarefa para fazer o relatorio,add_task
Preciso fazer o relatorio,add_task
Nova tarefa: fazer o relatorio,add_task
Me lembre de fazer o relatorio,add_task
Adiciona fazer o relatorio na lista,add_task
Agendar fazer o relatorio,add_task
Tenho que fazer o relatorio,add_task
Incluir fazer o relatorio,add_task
Adicionar tarefa: lavar o carro,add_task
Lembrar de lavar o carro,add_task
Criar tarefa para lavar o carro,add_task
Preciso lavar o carro,add_task
Nova tarefa: lavar o carro,add_task
Me lembre de lavar o carro,add_task
Adiciona lavar o carro na lista,add_task
Agendar lavar o carro,add_task
Tenho que lavar o carro,add_task
Incluir lavar o carro,add_task
Adicionar tarefa: passear com cachorro,add_task
Lembrar de passear com cachorro,add_task
Criar tarefa para passear com cachorro,add_task
Preciso passear com cachorro,add_task
Nova tarefa: passear com cachorro,add_task
Me lembre de passear com cachorro,add_task
Adiciona passear com cachorro na lista,add_task
Agendar passear com cachorro,add_task
Tenho que passear com cachorro,add_task
Incluir passear com cachorro,add_task
Adicionar tarefa: comprar leite,add_task
Lembrar de comprar leite,add_task
Criar tarefa para comprar leite,add_task
Preciso comprar leite,add_task
Nova tarefa: comprar leite,add_task
Me lembre de comprar leite,add_task
Adiciona comprar leite na lista,add_task
Agendar comprar leite,add_task
Tenho que comprar leite,add_task
Incluir comprar leite,add_task
Adicionar tarefa: arrumar o quarto,add_task
Lembrar de arrumar o quarto,add_task
Criar tarefa para arrumar o quarto,add_task
Preciso arrumar o quarto,add_task
Nova tarefa: arrumar o quarto,add_task
Me lembre de arrumar o quarto,add_task
Adiciona arrumar o quarto na lista,add_task
Agendar arrumar o quarto,add_task
Tenho que arrumar o quarto,add_task
Incluir arrumar o quarto,add_task
Adicionar tarefa: ler um livro,add_task
Lembrar de ler um livro,add_task
Criar tarefa para ler um livro,add_task
Preciso ler um livro,add_task
Nova tarefa: ler um livro,add_task
Me lembre de ler um livro,add_task
Adiciona ler um livro na lista,add_task
Agendar ler um livro,add_task
Tenho que ler um livro,add_task
Incluir ler um livro,add_task
Adicionar tarefa: ir ao mercado,add_task
Lembrar de ir ao mercado,add_task
Criar tarefa para ir ao mercado,add_task
Preciso ir ao mercado,add_task
Nova tarefa: ir ao mercado,add_task
Me lembre de ir ao mercado,add_task
Adiciona ir ao mercado na lista,add_task
Agendar ir ao mercado,add_task
Tenho que ir ao mercado,add_task
Incluir ir ao mercado,add_task
Adicionar tarefa: fazer exercicios,add_task
Lembrar de fazer exercicios,add_task
Criar tarefa para fazer exercicios,add_task
Preciso fazer exercicios,add_task
Nova tarefa: fazer exercicios,add_task
Me lembre de fazer exercicios,add_task
Adiciona fazer exercicios na lista,add_task
Agendar fazer exercicios,add_task
Tenho que fazer exercicios,add_task
Incluir fazer exercicios,add_task
Adicionar tarefa: enviar email,add_task
Lembrar de enviar email,add_task
Criar tarefa para enviar email,add_task
Preciso enviar email,add_task
Nova tarefa: enviar email,add_task
Me lembre de enviar email,add_task
Adiciona enviar email na lista,add_task
Agendar enviar email,add_task
Tenho que enviar email,add_task
Incluir enviar email,add_task
Adicionar tarefa: limpar a casa,add_task
Lembrar de limpar a casa,add_task
Criar tarefa para limpar a casa,add_task
Preciso limpar a casa,add_task
Nova tarefa: limpar a casa,add_task
Me lembre de limpar a casa,add_task
Adiciona limpar a casa na lista,add_task
Agendar limpar a casa,add_task
Tenho que limpar a casa,add_task
Incluir limpar a casa,add_task
Adicionar tarefa: fazer o jantar,add_task
Lembrar de fazer o jantar,add_task
Criar tarefa para fazer o jantar,add_task
Preciso fazer o jantar,add_task
Nova tarefa: fazer o jantar,add_task
Me lembre de fazer o jantar,add_task
Adiciona fazer o jantar na lista,add_task
Agendar fazer o jantar,add_task
Tenho que fazer o jantar,add_task
Incluir fazer o jantar,add_task
Adicionar tarefa: comprar presente,add_task
Lembrar de comprar presente,add_task
Criar tarefa para comprar presente,add_task
Preciso comprar presente,add_task
Nova tarefa: comprar presente,add_task
Me lembre de comprar presente,add_task
Adiciona comprar presente na lista,add_task
Agendar comprar presente,add_task
Tenho que comprar presente,add_task
Incluir comprar presente,add_task
Adicionar tarefa: reservar restaurante,add_task
Lembrar de reservar restaurante,add_task
Criar tarefa para reservar restaurante,add_task
Preciso reservar restaurante,add_task
Nova tarefa: reservar restaurante,add_task
Me lembre de reservar restaurante,add_task
Adiciona reservar restaurante na lista,add_task
Agendar reservar restaurante,add_task
Tenho que reservar restaurante,add_task
Incluir reservar restaurante,add_task
Adicionar tarefa: cancelar assinatura,add_task
Lembrar de cancelar assinatura,add_task
Criar tarefa para cancelar assinatura,add_task
Preciso cancelar assinatura,add_task
Nova tarefa: cancelar assinatura,add_task
Me lembre de cancelar assinatura,add_task
Adiciona cancelar assinatura na lista,add_task
Agendar cancelar assinatura,add_task
Tenho que cancelar assinatura,add_task
Incluir cancelar assinatura,add_task
Adicionar tarefa: revisar codigo,add_task
Lembrar de revisar codigo,add_task
Criar tarefa para revisar codigo,add_task
Preciso revisar codigo,add_task
Nova tarefa: revisar codigo,add_task
Me lembre de revisar codigo,add_task
Adiciona revisar codigo na lista,add_task
Agendar revisar codigo,add_task
Tenho que revisar codigo,add_task
Incluir revisar codigo,add_task
Adicionar tarefa: treinar,add_task
Lembrar de treinar,add_task
Criar tarefa para treinar,add_task
Preciso treinar,add_task
Nova tarefa: treinar,add_task
Me lembre de treinar,add_task
Adiciona treinar na lista,add_task
Agendar treinar,add_task
Tenho que treinar,add_task
Incluir treinar,add_task
Deletar tarefa comprar pão,delete_task
Remover comprar pão,delete_task
Apagar comprar pão,delete_task
Excluir comprar pão,delete_task
Tirar comprar pão da lista,delete_task
Cancela a tarefa comprar pão,delete_task
Não preciso mais comprar pão,delete_task
Pode apagar comprar pão,delete_task
Remove a tarefa de comprar pão,delete_task
Deleta comprar pão,delete_task
Deletar tarefa pagar conta,delete_task
Remover pagar conta,delete_task
Apagar pagar conta,delete_task
Excluir pagar conta,delete_task
Tirar pagar conta da lista,delete_task
Cancela a tarefa pagar conta,delete_task
Não preciso mais pagar conta,delete_task
Pode apagar pagar conta,delete_task
Remove a tarefa de pagar conta,delete_task
Deleta pagar conta,delete_task
Deletar tarefa ligar pro medico,delete_task
Remover ligar pro medico,delete_task
Apagar ligar pro medico,delete_task
Excluir ligar pro medico,delete_task
Tirar ligar pro medico da lista,delete_task
Cancela a tarefa ligar pro medico,delete_task
Não preciso mais ligar pro medico,delete_task
Pode apagar ligar pro medico,delete_task
Remove a tarefa de ligar pro medico,delete_task
Deleta ligar pro medico,delete_task
Deletar tarefa estudar python,delete_task
Remover estudar python,delete_task
Apagar estudar python,delete_task
Excluir estudar python,delete_task
Tirar estudar python da lista,delete_task
Cancela a tarefa estudar python,delete_task
Não preciso mais estudar python,delete_task
Pode apagar estudar python,delete_task
Remove a tarefa de estudar python,delete_task
Deleta estudar python,delete_task
Deletar tarefa fazer o relatorio,delete_task
Remover fazer o relatorio,delete_task
Apagar fazer o relatorio,delete_task
Excluir fazer o relatorio,delete_task
Tirar fazer o relatorio da lista,delete_task
Cancela a tarefa fazer o relatorio,delete_task
Não preciso mais fazer o relatorio,delete_task
Pode apagar fazer o relatorio,delete_task
Remove a tarefa de fazer o relatorio,delete_task
Deleta fazer o relatorio,delete_task
Deletar tarefa lavar o carro,delete_task
Remover lavar o carro,delete_task
Apagar lavar o carro,delete_task
Excluir lavar o carro,delete_task
Tirar lavar o carro da lista,delete_task
Cancela a tarefa lavar o carro,delete_task
Não preciso mais lavar o carro,delete_task
Pode apagar lavar o carro,delete_task
Remove a tarefa de lavar o carro,delete_task
Deleta lavar o carro,delete_task
Deletar tarefa passear com cachorro,delete_task
Remover passear com cachorro,delete_task
Apagar passear com cachorro,delete_task
Excluir passear com cachorro,delete_task
Tirar passear com cachorro da lista,delete_task
Cancela a tarefa passear com cachorro,delete_task
Não preciso mais passear com cachorro,delete_task
Pode apagar passear com cachorro,delete_task
Remove a tarefa de passear com cachorro,delete_task
Deleta passear com cachorro,delete_task
Deletar tarefa comprar leite,delete_task
Remover comprar leite,delete_task
Apagar comprar leite,delete_task
Excluir comprar leite,delete_task
Tirar comprar leite da lista,delete_task
Cancela a tarefa comprar leite,delete_task
Não preciso mais comprar leite,delete_task
Pode apagar comprar leite,delete_task
Remove a tarefa de comprar leite,delete_task
